ProductTitle,ProductId,SkuId,SkuTitle,Publisher,SkuDescription,UnitOfMeasure,TermDuration,BillingPlan,Market,Currency,UnitPrice,PricingTierRangeMin,PricingTierRangeMax,EffectiveStartDate,EffectiveEndDate,Tags,ERP Price,Segment
Dynamics 365 Project Operations,CFQ7TTC0HD4D,000M,Dynamics 365 Project Operations (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Project Operations base license,,P1Y,Monthly,US,USD,518.4,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,576,Charity
Dynamics 365 Project Operations,CFQ7TTC0HD4D,000M,Dynamics 365 Project Operations (Non-Profit Pricing),Microsoft Corporation,Dynamics 365 Project Operations base license,,P1Y,Annual,US,USD,518.4,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,576,Charity
Dynamics 365 Sales Enterprise,CFQ7TTC0LFF1,18,Dynamics 365 Sales Enterprise Edition (Non-Profit Pricing),Microsoft Corporation,"User subscription that includes Dynamics 365 Sales, Enterprise edition.",,P1Y,Monthly,US,USD,257.04,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,285.6,Charity
Dynamics 365 Sales Enterprise,CFQ7TTC0LFF1,18,Dynamics 365 Sales Enterprise Edition (Non-Profit Pricing),Microsoft Corporation,"User subscription that includes Dynamics 365 Sales, Enterprise edition.",,P1Y,Annual,US,USD,257.04,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,285.6,Charity
Dynamics 365 Sales Enterprise,CFQ7TTC0LFF1,001D,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Sales Enterprise. Requires qualifying Dynamics 365 base offer.,,P1Y,Monthly,US,USD,54,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,60,Charity
Dynamics 365 Sales Enterprise,CFQ7TTC0LFF1,001D,Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Sales Enterprise. Requires qualifying Dynamics 365 base offer.,,P1Y,Annual,US,USD,54,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,60,Charity
Dynamics 365 Sales Insights,CFQ7TTC0LHZ3,5,Dynamics 365 Sales Insights (Non-Profit Pricing),Microsoft Corporation,User subscription that includes Dynamics 365 AI for Sales,,P1Y,Monthly,US,USD,135,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,150,Charity
Dynamics 365 Sales Insights,CFQ7TTC0LHZ3,5,Dynamics 365 Sales Insights (Non-Profit Pricing),Microsoft Corporation,User subscription that includes Dynamics 365 AI for Sales,,P1Y,Annual,US,USD,135,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,150,Charity
Dynamics 365 Sales Premium,CFQ7TTC0HBSJ,6,Dynamics 365 Sales Premium (Non-Profit Pricing),Microsoft Corporation,User subscription that includes Dynamics 365 Sales Enterprise and Dynamics 365 Sales Insights,,P1Y,Monthly,US,USD,365.04,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,405.6,Charity
Dynamics 365 Sales Premium,CFQ7TTC0HBSJ,6,Dynamics 365 Sales Premium (Non-Profit Pricing),Microsoft Corporation,User subscription that includes Dynamics 365 Sales Enterprise and Dynamics 365 Sales Insights,,P1Y,Annual,US,USD,365.04,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,405.6,Charity
Dynamics 365 Sales Professional,CFQ7TTC0LFN5,001B,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Sales Professional. Requires qualifying Dynamics 365 base offer.,,P1Y,Monthly,US,USD,54,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,60,Charity
Dynamics 365 Sales Professional,CFQ7TTC0LFN5,001B,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Sales Professional. Requires qualifying Dynamics 365 base offer.,,P1Y,Annual,US,USD,54,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,60,Charity
Dynamics 365 Supply Chain Management,CFQ7TTC0LH31,001H,Dynamics 365 Supply Chain Management (36 mo) (Non-Profit Pricing),Microsoft Corporation,Base user subscription offering for Dynamics 365 Supply Chain Management,,P3Y,Monthly,US,USD,2332.8,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,2592,Charity
Dynamics 365 Supply Chain Management,CFQ7TTC0LH31,001H,Dynamics 365 Supply Chain Management (36 mo) (Non-Profit Pricing),Microsoft Corporation,Base user subscription offering for Dynamics 365 Supply Chain Management,,P3Y,Annual,US,USD,2332.8,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,2592,Charity
Dynamics 365 Supply Chain Management,CFQ7TTC0LH31,001J,Dynamics 365 Supply Chain Management Attach to Qualifying Dynamics 365 Base Offer (36 mo) (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Supply Chain Management. Requires qualifying Dynamics 365 base offer.,,P3Y,Monthly,US,USD,486,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,540,Charity
Dynamics 365 Supply Chain Management,CFQ7TTC0LH31,001J,Dynamics 365 Supply Chain Management Attach to Qualifying Dynamics 365 Base Offer (36 mo) (Non-Profit Pricing),Microsoft Corporation,Attach user subscription offering for Dynamics 365 Supply Chain Management. Requires qualifying Dynamics 365 base offer.,,P3Y,Annual,US,USD,486,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,540,Charity
Dynamics 365 Team Members,CFQ7TTC0LFNJ,1,Dynamics 365 Team Members,Microsoft Corporation,User subscription that includes Team Members,,P1Y,Monthly,US,USD,21.6,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,24,Charity
Dynamics 365 Team Members,CFQ7TTC0LFNJ,1,Dynamics 365 Team Members,Microsoft Corporation,User subscription that includes Team Members,,P1Y,Annual,US,USD,21.6,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,24,Charity
Enterprise Mobility + Security E3,CFQ7TTC0LFJ2,000N,Enterprise Mobility + Security E3 (Non-Profit Pricing),Microsoft Corporation,"Enterprise Mobility + Security E3 provides a convenient cost effective way for customers to purchase Microsoft’s end user and device cloud services:  Azure AD Premium P1, Azure Information Protection Premium P1, Microsoft Advanced Threat Analytics and Microsoft Intune.",,P1Y,Monthly,US,USD,29.16,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,32.4,Charity
Enterprise Mobility + Security E3,CFQ7TTC0LFJ2,000N,Enterprise Mobility + Security E3 (Non-Profit Pricing),Microsoft Corporation,"Enterprise Mobility + Security E3 provides a convenient cost effective way for customers to purchase Microsoft’s end user and device cloud services:  Azure AD Premium P1, Azure Information Protection Premium P1, Microsoft Advanced Threat Analytics and Microsoft Intune.",,P1Y,Annual,US,USD,29.16,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,32.4,Charity
Enterprise Mobility + Security E5,CFQ7TTC0LFJ1,000L,Enterprise Mobility + Security E5 (Non-Profit Pricing),Microsoft Corporation,"Microsoft Enterprise Mobility + Security E5 is the most comprehensive cloud delivered solution for securing your company data in a mobile-first, cloud-first world.",,P1Y,Monthly,US,USD,71.28,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,79.2,Charity
Enterprise Mobility + Security E5,CFQ7TTC0LFJ1,000L,Enterprise Mobility + Security E5 (Non-Profit Pricing),Microsoft Corporation,"Microsoft Enterprise Mobility + Security E5 is the most comprehensive cloud delivered solution for securing your company data in a mobile-first, cloud-first world.",,P1Y,Annual,US,USD,71.28,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,79.2,Charity
Exchange Online Archiving for Exchange Online,CFQ7TTC0LH0J,000M,Exchange Online Archiving for Exchange Online (Non-Profit Pricing),Microsoft Corporation,"A cloud-based, enterprise-class archiving solution for Office 365 Enterprise K1 and Exchange Online (Plan 1). This solution can assist your organization with archiving, compliance, regulatory, and e-discovery challenges.",,P1Y,Monthly,US,USD,8.16,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,9,Charity
Exchange Online Archiving for Exchange Online,CFQ7TTC0LH0J,000M,Exchange Online Archiving for Exchange Online (Non-Profit Pricing),Microsoft Corporation,"A cloud-based, enterprise-class archiving solution for Office 365 Enterprise K1 and Exchange Online (Plan 1). This solution can assist your organization with archiving, compliance, regulatory, and e-discovery challenges.",,P1Y,Annual,US,USD,8.1,,,2024-01-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,9,Charity
